Size,PeakMemoryBytes,PeakMemoryKB,PeakMemoryMB
836000,1.2927e+07,12624,12.3281
841000,1.29679e+07,12664,12.3672
846000,1.30089e+07,12704,12.4062
851000,1.30499e+07,12744,12.4453
856000,1.30826e+07,12776,12.4766
861000,1.31236e+07,12816,12.5156
866000,1.31645e+07,12856,12.5547
871000,1.32055e+07,12896,12.5938
876000,1.32465e+07,12936,12.6328
881000,1.32874e+07,12976,12.6719
886000,1.33284e+07,13016,12.7109
891000,1.33693e+07,13056,12.75
896000,1.34103e+07,13096,12.7891
901000,1.34431e+07,13128,12.8203
906000,1.3484e+07,13168,12.8594
911000,1.3525e+07,13208,12.8984
916000,1.3566e+07,13248,12.9375
921000,1.36069e+07,13288,12.9766
926000,1.36479e+07,13328,13.0156
931000,1.36888e+07,13368,13.0547
936000,1.37298e+07,13408,13.0938
941000,1.37626e+07,13440,13.125
946000,1.38035e+07,13480,13.1641
951000,1.38445e+07,13520,13.2031
956000,1.38854e+07,13560,13.2422
961000,1.39264e+07,13600,13.2812
966000,1.39674e+07,13640,13.3203
971000,1.40083e+07,13680,13.3594
976000,1.40493e+07,13720,13.3984
981000,1.40902e+07,13760,13.4375
986000,1.4123e+07,13792,13.4688
991000,1.4164e+07,13832,13.5078
996000,1.42049e+07,13872,13.5469
